Unnamed: 0	Review	Sentiment
0	Guest is non-contactable, hence we have registered/updated the complaint based on the concern shared on an e-mail. Attached e-mail for reference. DCM Attached**	Highly Frustrated
1	"On 01-Oct-24 received an mail from Mr. Gaurav Mehta stated that he is interested in Innova crysta and looking to purchase the vehicle and guest contacted the dealership of OM Toyota and guest stated that there is no is proper response from the dealership and guest requested for the test drive but there is no revert from the dealership and guest stated that its Unsatisfactory response and Guest is totally disappointed and guest is waiting for the positive response and  kindly revert back asap and do needful, CLI:9829000031 (Gowri Sankar TKMGEC)
"	Frustrated
2	"months and guest need clarification on sequence number and guest need the deliver of the car at the earliest and Guest is totally disappointed and guest is waiting for the positive response and kindly revert back asap and do needful, CLI:9871154068 \ 9958666771(Gowri Sankar TKMGEC)
 On 01-Oct-24 received an mail from Mr. Lalit Mehtani stated that he booked an Innova Hycross GXO on his name Mrs. Rachitha Mehtani and guest stated that the vehicle is booked on 15th April 24 and guest stated that its almost 6 months and till now there is no update on the delivery and guest stated that the 
the response from the dealership is not satisfactory and guest asked that how the sequence number same from the last few "	Frustrated
3	the earliest and wants response asap. kindly do the needful CLI:9811968418[Vikas TKM-GEC]   his vehicle he saw that Lock is broken and guest stated that this is the 3 times they have done the same thing as when they remove the lock to check the AC Filter at that time they don't know how to remove it and they break it and guest used to pay money for the issue and now also they did the same thing and today when guest contacted the dealership they are saying to bring the vehicle after 3 days as guest is very disappointed and stated that he wants his issue to be rectified at 	Frustrated
4	Guest wanted (9444036698) this number to be updated as his registered mobile number. Kindly do the needful. CLI:9444036698 [Nivya TKM-GEC] W.R.T TRQ0924015908 On 01/10/2024 Mr. Sivakumar called in and stated that in i-connect application the registered mobile number is getting changed without his constant frequently. Guest said before 15 days he himself had visited the dealer with the necessary documents to get his mobile number updated and they have changed by assuring it will not continue further. Now again the mobile number has been changed without his permission and guest is irate because of this.	Unsatisfied
5	Nearest Coding Selected.** DCM SS attached.	Frustrated
6	"DCM ATTACHED** permenent resolution for this concerns. guest also mentioned that the staffs are unaware of vehicle features and not able to answer the guest question clearly, As per guest , the staffs need to be educated upon the features and small-small technical details of the car. guest waiting for a prompt response as he is a first time toyota owner , expecting a better response ASAP, cli:9818598462
[TKM CAC RAVI]"	Frustrated
7	*** Nearest Coding Selected. DCM SS attached.***	Frustrated
8	On 01th Oct 24 Mr. Siddharth called and stated that, He booked Innova Crysta vehicle on 18/9/2024 and he paid booking amount of 11000/-Rs and bank also transferred the Amount to the dealership of 20,00,000/-Rs. Dealership said that they will delivery the vehicle on 3 Oct 24.Guest said now there are telling me that you have to Take Insurance , EW and  car care protection  with us because we arranged the vehicle in waiting period. Guest said but he have purchased the Accessories of 45000/Rs and why there are telling like that. Guest said he is very disappointed with them Kindly do need fully.CLI:8888998104/ 9422135948[Indharjeeth TKM-GEC]  	Highly Frustrated
9	 Dealership told that vehicle of the particular color is not coming, Toyota is not producing the vehicle. Guest is highly disappointed as he has waited for the given time. Guest wants solution and delivery at  the earliest. CLI:- 9422337878(Sudipta TKM GEC) On 1st Oct, 24 we received an email from Mr. Jayprakash Bedre, stated that he has booked Innova Hycross Hybrid VX 8 seater from the dealership and at the booking guest was told that his vehicle would be delivered with in  6 months but the vehicle has not been delivered yet. Guest tried to contact the dealership multiple times but the dealership is giving excuses instead of giving delivery.	Frustrated
