Review,Sentiment,Cause
"On 25th May, Mr. Athul stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 15th Feb, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 1st Jan, Mr. Raj stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Anjali stated the service was very slow and unprofessional. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Mr. Vinay stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Mr. Gaurav stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Sharma stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 10th April, Mr. Raj stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Ms. Anjali stated the dealership did not respond regarding the test drive request. The guest is very disappointed and requests immediate action..",simply unsatisfied,dealer mistake
"On 31st Oct, Mr. Gaurav stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 1st Jan, Mr. Vinay stated the car broke down in the middle of the road. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 31st Oct, Ms. Priya stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 15th Feb, Ms. Priya stated seatbelt was too tight for comfort. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 5th June, Ms. Anjali stated the guest expected a different car model which was unavailable. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
"On 28th March, Ms. Priya stated the guest was not satisfied with the infotainment system. The guest is very disappointed and requests immediate action..",simply unsatisfied,customer expectation
